f_Hz,R_Ohm,u_max,V_max,P_max,E_tot
5.0,1000.0,0.0002494980132423708,2.0201618333739235,0.004081053833020693,0.0019885767934960026
5.0,5623.413251903491,4.554426206570302e-05,2.0155108129230466,0.0007223875705088296,0.0003579659829645085
5.0,31622.776601683792,9.794115273505219e-06,2.0654283579409607,0.00013490258478945664,6.370700799972471e-05
5.0,177827.94100389228,5.003344765232267e-06,2.117113644237267,2.520509520220726e-05,1.1352418572581185e-05
5.0,1000000.0,4.56375115278487e-06,2.220370234712602,4.930043979197696e-06,2.03133188462634e-06
10.0,1000.0,0.00012533868338125844,1.9843837137033935,0.0039377787232112715,0.0019430558922473003
10.0,5623.413251903491,2.346230744362837e-05,2.041998110992304,0.0007414991747022508,0.0003660240636497939
10.0,31622.776601683792,6.827774467556331e-06,2.179636171628881,0.0001502339247597898,6.525961859569559e-05
10.0,177827.94100389228,4.780075651655417e-06,2.240797497608184,2.823613317986512e-05,1.16577911513803e-05
10.0,1000000.0,4.687386543147466e-06,2.3126569971182627,5.3483823863200605e-06,2.1001834321228705e-06
15.0,1000.0,8.313583599349087e-05,1.9428885819233317,0.0037748160417680546,0.0018696185803612907
15.0,5623.413251903491,1.632271959324296e-05,2.0707144737083834,0.0007625010362121214,0.0003801015453505341
15.0,31622.776601683792,6.2107333080026705e-06,2.178309042157274,0.00015005103261209158,6.797954058949355e-05
15.0,177827.94100389228,5.019580362170938e-06,2.378341567942519,3.180888549836761e-05,1.2186593075334093e-05
15.0,1000000.0,4.936574449103004e-06,2.454160091752937,6.022901755952785e-06,2.2175705772446172e-06
20.0,1000.0,6.175369005325404e-05,1.8906578684213706,0.0035745871754236406,0.0017735392523276336
20.0,5623.413251903491,1.3055360071721886e-05,2.235559990149767,0.0008887357634381086,0.00040113963048326836
20.0,31622.776601683792,5.67997274512293e-06,2.466507929952646,0.00019238226437697932,7.209111778336155e-05
20.0,177827.94100389228,5.180639211926292e-06,2.528996576747974,3.5966359668208615e-05,1.2979364490821545e-05
20.0,1000000.0,5.213523215571193e-06,2.5921153836287743,6.719062162044947e-06,2.3934965412292292e-06
25.0,1000.0,4.8769948169026394e-05,1.8279525660862228,0.0033414105838612067,0.0016604610105131537
25.0,5623.413251903491,1.1148586352359945e-05,2.4732091194814667,0.0010877314319049564,0.00043069031654841515
25.0,31622.776601683792,6.394852693462542e-06,2.8083618659899994,0.00024940556200010863,7.794691831741967e-05
25.0,177827.94100389228,5.912796773289727e-06,2.8884237984854764,4.6916091996334015e-05,1.410945639984645e-05
25.0,1000000.0,5.830916804215539e-06,2.903301363052048,8.42915880469988e-06,2.644086551325144e-06
30.0,1000.0,4.0022204442806736e-05,1.7617982247664512,0.003103932984790219,0.0015364574966593304
30.0,5623.413251903491,1.0505272453619072e-05,2.6376543871976237,0.0012371882261983673,0.0004711358506172586
30.0,31622.776601683792,6.893544175281767e-06,3.0514156005592734,0.00029444401055031734,8.611467758132966e-05
30.0,177827.94100389228,6.433999003703214e-06,3.148983665977886,5.576231762351949e-05,1.5685105605877558e-05
30.0,1000000.0,6.358560606126233e-06,3.1674946769048278,1.0033022528220419e-05,2.994983443816035e-06
35.0,1000.0,3.3721449734916366e-05,1.6966084119645846,0.0028784801035489894,0.0014069561283184262
35.0,5623.413251903491,1.0298449698392685e-05,2.7420553796544396,0.0013370647626771448,0.0005261228419051048
35.0,31622.776601683792,7.219928556465573e-06,3.219057598642957,0.00032768570432329476,9.751523843920316e-05
35.0,177827.94100389228,6.907469271695284e-06,3.410259618990384,6.539956883750843e-05,1.789443128974113e-05
35.0,1000000.0,7.038088650120599e-06,3.5287838696533163,1.2452315598725432e-05,3.487554353457288e-06
40.0,1000.0,2.8952291537586017e-05,1.6315465280958146,0.0026619440733415068,0.001276959942360022
40.0,5623.413251903491,1.0057812783841975e-05,2.7954392595012565,0.001389633004637491,0.0006012390180761704
40.0,31622.776601683792,7.403054444691827e-06,3.321424064150041,0.00034885797515097304,0.00011368295438360822
40.0,177827.94100389228,7.014273238583939e-06,3.449702231619463,6.692112285425284e-05,2.1039629570493048e-05
40.0,1000000.0,7.401119197667321e-06,3.709686521483167,1.376177408767388e-05,4.192874153942895e-06
45.0,1000.0,2.5226166554034347e-05,1.5695617456249955,0.002463524073329383,0.0011503610747289896
45.0,5623.413251903491,9.780243498406108e-06,3.1446579770264167,0.0017585180653633364,0.0007052063322610305
45.0,31622.776601683792,7.79296747370815e-06,4.151252526797416,0.0005449520691463995,0.00013730555345737243
45.0,177827.94100389228,8.809861004227235e-06,4.453709024429254,0.00011154334893777138,2.566506007485959e-05
45.0,1000000.0,9.092940621515041e-06,4.5387644437276125,2.0600382675646023e-05,5.243276426192458e-06
50.0,1000.0,2.223873926634654e-05,1.5079180953627898,0.0022738169823225433,0.001029929870868327
50.0,5623.413251903491,9.470664180420005e-06,3.5158207638355288,0.002198130404026935,0.000851747922159391
50.0,31622.776601683792,9.387131658508479e-06,4.8619858537419915,0.0007475278575230664,0.00017348320959266486
50.0,177827.94100389228,1.0398961340270807e-05,5.234180193023119,0.00015406264132831565,3.2796380917629134e-05
50.0,1000000.0,1.0603599275750783e-05,5.307818542097373,2.8172937675832685e-05,6.8698143011424396e-06
